City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
278,paita,-5.0892,-81.1144,21.07,76,84,7.86,PE,1731267831
279,skikda,36.8762,6.9092,18.61,74,91,4.83,DZ,1731267832
280,cabedelo,-6.9811,-34.8339,29.37,72,99,5.35,BR,1731267833
281,kamiiso,41.8167,140.65,14.21,82,90,4.63,JP,1731267834
282,kharp,66.8014,65.8081,-17.2,91,45,4.6,RU,1731267836
283,valmiera,57.5411,25.4275,5.36,88,100,1.85,LV,1731267837
284,mount gambier,-37.8333,140.7667,7.76,90,12,2.39,AU,1731267838
285,lerwick,60.1545,-1.1494,9.62,76,99,7.96,GB,1731267839
286,puerto ayora,-0.7393,-90.3518,24.19,77,75,3.13,EC,1731267841
287,zapala,-38.8992,-70.0544,13.82,31,25,13.72,AR,1731267844
288,bannu,32.9854,70.6027,22.17,35,6,1.28,PK,1731267845
289,puerto baquerizo moreno,-0.9,-89.6,25.55,61,20,5.14,EC,1731267846
290,suomussalmi,64.8869,28.9078,-1.72,93,80,2.02,FI,1731267847
291,vuktyl,63.8567,57.3094,-7.46,91,100,4.87,RU,1731267815
292,mermoz boabab,14.7065,-17.4758,27.88,65,0,3.09,SN,1731267820
293,tura,25.5198,90.2201,19.43,89,0,1.37,IN,1731267851
294,quelimane,-17.8786,36.8883,26.97,78,20,5.14,MZ,1731267852
295,sparti,37.0733,22.4297,10.34,69,37,0.84,GR,1731267853
296,tarauaca,-8.1614,-70.7656,31.32,52,95,1.0,BR,1731267854
297,toulepleu guere,6.574,-8.4259,25.75,68,96,0.82,CI,1731267855
298,beichengqu,40.4394,113.1536,7.36,85,100,3.91,CN,1731267859
299,college,64.8569,-147.8028,-19.01,78,20,0.0,US,1731267860
300,chincha alta,-13.4099,-76.1323,21.37,70,31,3.54,PE,1731267861
301,bairnsdale,-37.8333,147.6167,10.03,96,10,1.82,AU,1731267862
302,ra's bayrut,33.9,35.4833,19.81,73,75,2.57,LB,1731267753
303,key west,24.5557,-81.7826,29.44,74,40,7.2,US,1731267864
304,paredon,16.0333,-93.8667,30.18,61,40,3.83,MX,1731267865
305,vel'sk,61.0701,42.0983,-1.06,92,79,3.07,RU,1731267867
